Home,xG_h,Score,xG_a,Away
Wolves,0.6,1–0,1.1,Chelsea
Tottenham,0.8,2–1,1.4,Brighton
Southampton,0.4,1–4,2.9,Manchester City
Leeds United,0.9,1–5,3.0,Crystal Palace
Liverpool,3.9,2–2,1.4,Arsenal
Aston Villa,1.9,3–0,0.5,Newcastle Utd
Chelsea,0.5,1–2,2.9,Brighton
Southampton,0.8,0–2,0.9,Crystal Palace
Wolves,0.8,2–0,1.1,Brentford
Tottenham,2.2,2–3,1.3,Bournemouth
Everton,1.4,1–3,1.8,Fulham
Manchester City,1.6,3–1,2.3,Leicester City
West Ham,1.8,2–2,2.7,Arsenal
Nott'ham Forest,0.7,0–2,3.5,Manchester Utd
Leeds United,1.4,1–6,2.7,Liverpool
Arsenal,2.5,3–3,1.3,Southampton
Fulham,1.7,2–1,0.8,Leeds United
Crystal Palace,0.5,0–0,0.4,Everton
Brentford,2.7,1–1,1.5,Aston Villa
Liverpool,2.8,3–2,0.9,Nott'ham Forest
Leicester City,2.4,2–1,0.9,Wolves
Bournemouth,1.5,0–4,2.4,West Ham
Newcastle Utd,3.7,6–1,1.0,Tottenham
Wolves,1.4,2–0,0.8,Crystal Palace
Aston Villa,1.0,1–0,0.1,Fulham
Leeds United,1.5,1–1,2.1,Leicester City
Nott'ham Forest,2.4,3–1,2.3,Brighton
Chelsea,1.3,0–2,1.1,Brentford
West Ham,0.8,1–2,1.9,Liverpool
Manchester City,2.5,4–1,0.5,Arsenal
Everton,0.9,1–4,2.4,Newcastle Utd
Southampton,0.5,0–1,0.9,Bournemouth
Tottenham,2.5,2–2,2.0,Manchester Utd
Crystal Palace,2.1,4–3,1.7,West Ham
Brighton,3.3,6–0,0.8,Wolves
Brentford,1.6,2–1,0.7,Nott'ham Forest
Manchester Utd,1.2,1–0,0.6,Aston Villa
Bournemouth,1.9,4–1,1.6,Leeds United
Newcastle Utd,4.3,3–1,0.8,Southampton
Fulham,0.2,1–2,2.5,Manchester City
Liverpool,2.2,4–3,2.0,Tottenham
Leicester City,3.4,2–2,3.1,Everton
Arsenal,1.7,3–1,0.8,Chelsea
Liverpool,1.8,1–0,0.9,Fulham
Manchester City,2.3,3–0,0.4,West Ham
Brighton,2.3,1–0,1.4,Manchester Utd
Tottenham,0.9,1–0,0.4,Crystal Palace
Wolves,0.8,1–0,1.5,Aston Villa
Bournemouth,1.2,1–3,1.3,Chelsea
Manchester City,2.6,2–1,0.2,Leeds United
Liverpool,2.2,1–0,0.2,Brentford
Newcastle Utd,1.3,0–2,1.3,Arsenal
West Ham,1.3,1–0,1.2,Manchester Utd
Fulham,1.6,5–3,2.8,Leicester City
Brighton,3.2,1–5,2.3,Everton
Nott'ham Forest,1.8,4–3,3.1,Southampton
Leeds United,2.1,2–2,2.4,Newcastle Utd
Aston Villa,1.2,2–1,1.4,Tottenham
Chelsea,1.2,2–2,1.3,Nott'ham Forest
Crystal Palace,1.5,2–0,0.3,Bournemouth
Southampton,0.4,0–2,1.4,Fulham
Manchester Utd,3.2,2–0,0.3,Wolves
Everton,1.6,0–3,0.8,Manchester City
Brentford,3.4,2–0,0.2,West Ham
Arsenal,0.9,0–3,1.7,Brighton
Leicester City,0.4,0–3,2.2,Liverpool
Newcastle Utd,3.6,4–1,0.5,Brighton
Tottenham,1.8,1–3,1.3,Brentford
Liverpool,0.7,1–1,1.3,Aston Villa
Fulham,1.7,2–2,1.6,Crystal Palace
Bournemouth,1.0,0–1,1.4,Manchester Utd
Wolves,1.6,1–1,2.0,Everton
Nott'ham Forest,0.6,1–0,0.6,Arsenal
West Ham,2.1,3–1,0.9,Leeds United
Brighton,2.5,3–1,0.6,Southampton
Manchester City,1.2,1–0,1.2,Chelsea
Newcastle Utd,2.1,0–0,0.1,Leicester City
Brighton,2.2,1–1,1.8,Manchester City
Manchester Utd,5.2,4–1,1.9,Chelsea
Crystal Palace,1.4,1–1,0.5,Nott'ham Forest
Chelsea,2.2,1–1,1.7,Newcastle Utd
Manchester Utd,2.9,2–1,1.8,Fulham
Arsenal,2.8,5–0,0.5,Wolves
Southampton,1.8,4–4,4.0,Liverpool
Everton,1.0,1–0,0.5,Bournemouth
Leicester City,1.4,2–1,1.4,West Ham
Aston Villa,2.8,2–1,1.4,Brighton
Leeds United,1.5,1–4,2.2,Tottenham
Brentford,1.3,1–0,1.6,Manchester City
